MAPEO DE TRAZABILIDAD (PAR -> CAMINOS)
=====================================
Par 1,13       | Caminos: 17, 29
Par 1,13b      | Caminos: 23
Par 1,13c      | Caminos: 26, 62
Par 1,14       | Caminos: 3, 7, 38
Par 1,23       | Caminos: 28, 60, 91
Par 1,5        | Caminos: 7, 37, 55, 72, 80, 86, 89, 90, 93, 101, 106, 107, 110, 111, 113, 114
Par 10,1       | Caminos: 55, 106, 113
Par 10,2       | Caminos: 71
Par 10,3       | Caminos: 73
Par 10,4       | Caminos: 97
Par 10b,1      | Caminos: 26, 86, 93
Par 10b,2      | Caminos: 75
Par 10b,3      | Caminos: 84
Par 10b,4      | Caminos: 50
Par 10c,1      | Caminos: 28, 110, 111, 114
Par 10c,2      | Caminos: 13
Par 10c,3      | Caminos: 52
Par 10c,4      | Caminos: 77
Par 11,12      | Caminos: 6, 6, 6, 6, 6, 6, 24, 55, 71, 73, 84, 97, 106, 111, 113
Par 11,12b     | Caminos: 28, 54, 93, 113
Par 11,12c     | Caminos: 32, 44, 63, 86, 106, 114
Par 11,21      | Caminos: 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 59, 104, 105
Par 11,21b     | Caminos: 21, 22, 25
Par 11,21c     | Caminos: 42, 64, 92, 94
Par 11,25      | Caminos: 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 69, 98, 99
Par 11,26      | Caminos: 19, 57, 66, 67, 68
Par 12,10      | Caminos: 55, 71
Par 12,10b     | Caminos: 84
Par 12,10c     | Caminos: 111
Par 12,11      | Caminos: 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 106, 113
Par 12,20      | Caminos: 24, 73
Par 12,20b     | Caminos: 57, 97
Par 12,9       | Caminos: 6, 6, 6, 6, 6, 6, 66, 104, 105
Par 12,9b      | Caminos: 21
Par 12,9c      | Caminos: 25
Par 12b,10     | Caminos: 113
Par 12b,10b    | Caminos: 93
Par 12b,10c    | Caminos: 28
Par 12b,11     | Caminos: 67, 67, 67, 67, 67, 67, 67, 67, 67
Par 12b,20     | Caminos: 54
Par 12b,20b    | Caminos: 68
Par 12b,9      | Caminos: 19
Par 12b,9b     | Caminos: 42
Par 12b,9c     | Caminos: 59
Par 12c,10     | Caminos: 106
Par 12c,10b    | Caminos: 86
Par 12c,10c    | Caminos: 114
Par 12c,11     | Caminos: 67
Par 12c,20     | Caminos: 32
Par 12c,20b    | Caminos: 63
Par 12c,9      | Caminos: 22, 92, 94
Par 12c,9b     | Caminos: 64
Par 12c,9c     | Caminos: 44
Par 13,13      | Caminos: 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
Par 13,13b     | Caminos: 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23
Par 13,13c     | Caminos: 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29
Par 13,14      | Caminos: 29
